
Feature reduction based on permutation importance ...
[99]	validation_0-rmse:0.11716	validation_1-rmse:0.11716
[100]	validation_0-rmse:0.11695	validation_1-rmse:0.11695
[101]	validation_0-rmse:0.11682	validation_1-rmse:0.11682
[102]	validation_0-rmse:0.11661	validation_1-rmse:0.11661
[103]	validation_0-rmse:0.11651	validation_1-rmse:0.11651
[104]	validation_0-rmse:0.11645	validation_1-rmse:0.11645
[105]	validation_0-rmse:0.11633	validation_1-rmse:0.11633
[106]	validation_0-rmse:0.11602	validation_1-rmse:0.11602
[107]	validation_0-rmse:0.11593	validation_1-rmse:0.11593
[108]	validation_0-rmse:0.11588	validation_1-rmse:0.11588
[109]	validation_0-rmse:0.11573	validation_1-rmse:0.11573
[110]	validation_0-rmse:0.11553	validation_1-rmse:0.11553
[111]	validation_0-rmse:0.11540	validation_1-rmse:0.11540
[112]	validation_0-rmse:0.11515	validation_1-rmse:0.11515
[113]	validation_0-rmse:0.11504	validation_1-rmse:0.11504
[114]	validation_0-rmse:0.11483	validation_1-rmse:0.11483
[115]	validation_0-rmse:0.11481	validation_1-rmse:0.11481
[116]	validation_0-rmse:0.11463	validation_1-rmse:0.11463
[117]	validation_0-rmse:0.11451	validation_1-rmse:0.11451
[118]	validation_0-rmse:0.11444	validation_1-rmse:0.11444
[119]	validation_0-rmse:0.11431	validation_1-rmse:0.11431
[120]	validation_0-rmse:0.11401	validation_1-rmse:0.11401
[121]	validation_0-rmse:0.11389	validation_1-rmse:0.11389
[122]	validation_0-rmse:0.11372	validation_1-rmse:0.11372
[123]	validation_0-rmse:0.11360	validation_1-rmse:0.11360
[124]	validation_0-rmse:0.11352	validation_1-rmse:0.11352
[125]	validation_0-rmse:0.11345	validation_1-rmse:0.11345
[126]	validation_0-rmse:0.11334	validation_1-rmse:0.11334
[127]	validation_0-rmse:0.11320	validation_1-rmse:0.11320
[128]	validation_0-rmse:0.11312	validation_1-rmse:0.11312
[129]	validation_0-rmse:0.11294	validation_1-rmse:0.11294
[130]	validation_0-rmse:0.11278	validation_1-rmse:0.11278
[131]	validation_0-rmse:0.11256	validation_1-rmse:0.11256
[132]	validation_0-rmse:0.11233	validation_1-rmse:0.11233
[133]	validation_0-rmse:0.11218	validation_1-rmse:0.11218
[134]	validation_0-rmse:0.11209	validation_1-rmse:0.11209
[135]	validation_0-rmse:0.11187	validation_1-rmse:0.11187
[136]	validation_0-rmse:0.11176	validation_1-rmse:0.11176
[137]	validation_0-rmse:0.11162	validation_1-rmse:0.11162
[138]	validation_0-rmse:0.11155	validation_1-rmse:0.11155
[139]	validation_0-rmse:0.11135	validation_1-rmse:0.11135
[140]	validation_0-rmse:0.11102	validation_1-rmse:0.11102
[141]	validation_0-rmse:0.11090	validation_1-rmse:0.11090
[142]	validation_0-rmse:0.11063	validation_1-rmse:0.11063
[143]	validation_0-rmse:0.11059	validation_1-rmse:0.11059
[144]	validation_0-rmse:0.11050	validation_1-rmse:0.11050
[145]	validation_0-rmse:0.11046	validation_1-rmse:0.11046
[146]	validation_0-rmse:0.11038	validation_1-rmse:0.11038
[147]	validation_0-rmse:0.11033	validation_1-rmse:0.11033
[148]	validation_0-rmse:0.11028	validation_1-rmse:0.11028
[149]	validation_0-rmse:0.11010	validation_1-rmse:0.11010
[150]	validation_0-rmse:0.11003	validation_1-rmse:0.11003
[151]	validation_0-rmse:0.10987	validation_1-rmse:0.10987
[152]	validation_0-rmse:0.10973	validation_1-rmse:0.10973
[153]	validation_0-rmse:0.10965	validation_1-rmse:0.10965
[154]	validation_0-rmse:0.10959	validation_1-rmse:0.10959
