
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:15:00 ...
>>> Fitting model to training data ...
[97]	validation_0-rmse:0.11800	validation_1-rmse:0.12358
[98]	validation_0-rmse:0.11783	validation_1-rmse:0.12343
[99]	validation_0-rmse:0.11771	validation_1-rmse:0.12333
[100]	validation_0-rmse:0.11749	validation_1-rmse:0.12319
[101]	validation_0-rmse:0.11737	validation_1-rmse:0.12306
[102]	validation_0-rmse:0.11726	validation_1-rmse:0.12296
[103]	validation_0-rmse:0.11716	validation_1-rmse:0.12287
[104]	validation_0-rmse:0.11708	validation_1-rmse:0.12280
[105]	validation_0-rmse:0.11688	validation_1-rmse:0.12263
[106]	validation_0-rmse:0.11676	validation_1-rmse:0.12253
[107]	validation_0-rmse:0.11666	validation_1-rmse:0.12244
[108]	validation_0-rmse:0.11659	validation_1-rmse:0.12239
[109]	validation_0-rmse:0.11649	validation_1-rmse:0.12230
[110]	validation_0-rmse:0.11632	validation_1-rmse:0.12216
[111]	validation_0-rmse:0.11611	validation_1-rmse:0.12198
[112]	validation_0-rmse:0.11602	validation_1-rmse:0.12192
[113]	validation_0-rmse:0.11578	validation_1-rmse:0.12171
[114]	validation_0-rmse:0.11556	validation_1-rmse:0.12156
[115]	validation_0-rmse:0.11547	validation_1-rmse:0.12148
[116]	validation_0-rmse:0.11533	validation_1-rmse:0.12137
[117]	validation_0-rmse:0.11528	validation_1-rmse:0.12135
[118]	validation_0-rmse:0.11505	validation_1-rmse:0.12118
[119]	validation_0-rmse:0.11498	validation_1-rmse:0.12114
[120]	validation_0-rmse:0.11493	validation_1-rmse:0.12110
[121]	validation_0-rmse:0.11472	validation_1-rmse:0.12091
[122]	validation_0-rmse:0.11463	validation_1-rmse:0.12084
[123]	validation_0-rmse:0.11453	validation_1-rmse:0.12077
[124]	validation_0-rmse:0.11428	validation_1-rmse:0.12055
[125]	validation_0-rmse:0.11408	validation_1-rmse:0.12041
[126]	validation_0-rmse:0.11400	validation_1-rmse:0.12033
[127]	validation_0-rmse:0.11388	validation_1-rmse:0.12024
[128]	validation_0-rmse:0.11377	validation_1-rmse:0.12014
[129]	validation_0-rmse:0.11368	validation_1-rmse:0.12006
[130]	validation_0-rmse:0.11358	validation_1-rmse:0.11999
[131]	validation_0-rmse:0.11329	validation_1-rmse:0.11973
[132]	validation_0-rmse:0.11322	validation_1-rmse:0.11967
[133]	validation_0-rmse:0.11306	validation_1-rmse:0.11954
