
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:45:00 ...
>>> Fitting model to training data ...
[97]	validation_0-rmse:99.11839	validation_1-rmse:102.45793
[98]	validation_0-rmse:99.04044	validation_1-rmse:102.38232
[99]	validation_0-rmse:98.91922	validation_1-rmse:102.27574
[100]	validation_0-rmse:98.76434	validation_1-rmse:102.12618
[101]	validation_0-rmse:98.59487	validation_1-rmse:102.00492
[102]	validation_0-rmse:98.55390	validation_1-rmse:101.97578
[103]	validation_0-rmse:98.40414	validation_1-rmse:101.85765
[104]	validation_0-rmse:98.29797	validation_1-rmse:101.78094
[105]	validation_0-rmse:98.17811	validation_1-rmse:101.67353
[106]	validation_0-rmse:98.12822	validation_1-rmse:101.62907
[107]	validation_0-rmse:98.05771	validation_1-rmse:101.57421
[108]	validation_0-rmse:97.91734	validation_1-rmse:101.49471
[109]	validation_0-rmse:97.77077	validation_1-rmse:101.37693
[110]	validation_0-rmse:97.64086	validation_1-rmse:101.26721
[111]	validation_0-rmse:97.49759	validation_1-rmse:101.17762
[112]	validation_0-rmse:97.34346	validation_1-rmse:101.04020
[113]	validation_0-rmse:97.19209	validation_1-rmse:100.91169
[114]	validation_0-rmse:97.09364	validation_1-rmse:100.84242
[115]	validation_0-rmse:97.07776	validation_1-rmse:100.83165
[116]	validation_0-rmse:96.99096	validation_1-rmse:100.78157
[117]	validation_0-rmse:96.89081	validation_1-rmse:100.70848
[118]	validation_0-rmse:96.82187	validation_1-rmse:100.67523
[119]	validation_0-rmse:96.74895	validation_1-rmse:100.63468
[120]	validation_0-rmse:96.67899	validation_1-rmse:100.63475
[121]	validation_0-rmse:96.62308	validation_1-rmse:100.65265
[122]	validation_0-rmse:96.60921	validation_1-rmse:100.64247
[123]	validation_0-rmse:96.57198	validation_1-rmse:100.65196
[124]	validation_0-rmse:96.48595	validation_1-rmse:100.57307
[125]	validation_0-rmse:96.40968	validation_1-rmse:100.50627
[126]	validation_0-rmse:96.37232	validation_1-rmse:100.51965
[127]	validation_0-rmse:96.31613	validation_1-rmse:100.49132
[128]	validation_0-rmse:96.30103	validation_1-rmse:100.48261
[129]	validation_0-rmse:96.25688	validation_1-rmse:100.46325
[130]	validation_0-rmse:96.21718	validation_1-rmse:100.43136
[131]	validation_0-rmse:96.12588	validation_1-rmse:100.35386
[132]	validation_0-rmse:96.00679	validation_1-rmse:100.27006
[133]	validation_0-rmse:95.90265	validation_1-rmse:100.20592
[134]	validation_0-rmse:95.82181	validation_1-rmse:100.15524
[135]	validation_0-rmse:95.73071	validation_1-rmse:100.07756
[136]	validation_0-rmse:95.66318	validation_1-rmse:100.01943
[137]	validation_0-rmse:95.61805	validation_1-rmse:99.99151
[138]	validation_0-rmse:95.57443	validation_1-rmse:99.96687
[139]	validation_0-rmse:95.53057	validation_1-rmse:99.93617
[140]	validation_0-rmse:95.47154	validation_1-rmse:99.87175
[141]	validation_0-rmse:95.33623	validation_1-rmse:99.80632
[142]	validation_0-rmse:95.22834	validation_1-rmse:99.75784
[143]	validation_0-rmse:95.05939	validation_1-rmse:99.61194
[144]	validation_0-rmse:95.02124	validation_1-rmse:99.59472
[145]	validation_0-rmse:94.85632	validation_1-rmse:99.46324
[146]	validation_0-rmse:94.75442	validation_1-rmse:99.35788
[147]	validation_0-rmse:94.68010	validation_1-rmse:99.29612
[148]	validation_0-rmse:94.63399	validation_1-rmse:99.28045
[149]	validation_0-rmse:94.58038	validation_1-rmse:99.25491
[150]	validation_0-rmse:94.49792	validation_1-rmse:99.20059
[151]	validation_0-rmse:94.40384	validation_1-rmse:99.13627
[152]	validation_0-rmse:94.35996	validation_1-rmse:99.13456
[153]	validation_0-rmse:94.28721	validation_1-rmse:99.08308
[154]	validation_0-rmse:94.17061	validation_1-rmse:99.00955
[155]	validation_0-rmse:94.12108	validation_1-rmse:98.99911
[156]	validation_0-rmse:94.10410	validation_1-rmse:98.98287
[157]	validation_0-rmse:94.07236	validation_1-rmse:98.96205
[158]	validation_0-rmse:93.94999	validation_1-rmse:98.85611
[159]	validation_0-rmse:93.88887	validation_1-rmse:98.80812
[160]	validation_0-rmse:93.86399	validation_1-rmse:98.80491
[161]	validation_0-rmse:93.80986	validation_1-rmse:98.76489
