
Feature reduction based on permutation importance ...
[99]	validation_0-rmse:2.49467	validation_1-rmse:2.49467
[100]	validation_0-rmse:2.49074	validation_1-rmse:2.49074
[101]	validation_0-rmse:2.48834	validation_1-rmse:2.48834
[102]	validation_0-rmse:2.48551	validation_1-rmse:2.48551
[103]	validation_0-rmse:2.48217	validation_1-rmse:2.48217
[104]	validation_0-rmse:2.48042	validation_1-rmse:2.48042
[105]	validation_0-rmse:2.47625	validation_1-rmse:2.47625
[106]	validation_0-rmse:2.47423	validation_1-rmse:2.47423
[107]	validation_0-rmse:2.46697	validation_1-rmse:2.46697
[108]	validation_0-rmse:2.46191	validation_1-rmse:2.46191
[109]	validation_0-rmse:2.45538	validation_1-rmse:2.45538
[110]	validation_0-rmse:2.45231	validation_1-rmse:2.45231
[111]	validation_0-rmse:2.45071	validation_1-rmse:2.45071
[112]	validation_0-rmse:2.44793	validation_1-rmse:2.44793
[113]	validation_0-rmse:2.44564	validation_1-rmse:2.44564
[114]	validation_0-rmse:2.44438	validation_1-rmse:2.44438
[115]	validation_0-rmse:2.44197	validation_1-rmse:2.44197
[116]	validation_0-rmse:2.43881	validation_1-rmse:2.43881
[117]	validation_0-rmse:2.43229	validation_1-rmse:2.43229
[118]	validation_0-rmse:2.43053	validation_1-rmse:2.43053
[119]	validation_0-rmse:2.42706	validation_1-rmse:2.42706
[120]	validation_0-rmse:2.42371	validation_1-rmse:2.42371
[121]	validation_0-rmse:2.41971	validation_1-rmse:2.41971
[122]	validation_0-rmse:2.41863	validation_1-rmse:2.41863
[123]	validation_0-rmse:2.41469	validation_1-rmse:2.41469
[124]	validation_0-rmse:2.40567	validation_1-rmse:2.40567
[125]	validation_0-rmse:2.39927	validation_1-rmse:2.39927
[126]	validation_0-rmse:2.39375	validation_1-rmse:2.39375
[127]	validation_0-rmse:2.38812	validation_1-rmse:2.38812
[128]	validation_0-rmse:2.38072	validation_1-rmse:2.38072
[129]	validation_0-rmse:2.37701	validation_1-rmse:2.37701
[130]	validation_0-rmse:2.37500	validation_1-rmse:2.37500
[131]	validation_0-rmse:2.37181	validation_1-rmse:2.37181
[132]	validation_0-rmse:2.36640	validation_1-rmse:2.36640
[133]	validation_0-rmse:2.36457	validation_1-rmse:2.36457
[134]	validation_0-rmse:2.36165	validation_1-rmse:2.36165
[135]	validation_0-rmse:2.36033	validation_1-rmse:2.36033
[136]	validation_0-rmse:2.35683	validation_1-rmse:2.35683
[137]	validation_0-rmse:2.35498	validation_1-rmse:2.35498
[138]	validation_0-rmse:2.35112	validation_1-rmse:2.35112
[139]	validation_0-rmse:2.34785	validation_1-rmse:2.34785
[140]	validation_0-rmse:2.34570	validation_1-rmse:2.34570
[141]	validation_0-rmse:2.34215	validation_1-rmse:2.34215
[142]	validation_0-rmse:2.33493	validation_1-rmse:2.33493
[143]	validation_0-rmse:2.33329	validation_1-rmse:2.33329
[144]	validation_0-rmse:2.32938	validation_1-rmse:2.32938
[145]	validation_0-rmse:2.32486	validation_1-rmse:2.32486
[146]	validation_0-rmse:2.31953	validation_1-rmse:2.31953
[147]	validation_0-rmse:2.31541	validation_1-rmse:2.31541
[148]	validation_0-rmse:2.31253	validation_1-rmse:2.31253
[149]	validation_0-rmse:2.30896	validation_1-rmse:2.30896
[150]	validation_0-rmse:2.30444	validation_1-rmse:2.30444
[151]	validation_0-rmse:2.30348	validation_1-rmse:2.30348
[152]	validation_0-rmse:2.30189	validation_1-rmse:2.30189
[153]	validation_0-rmse:2.30018	validation_1-rmse:2.30018
[154]	validation_0-rmse:2.29792	validation_1-rmse:2.29792
[155]	validation_0-rmse:2.29324	validation_1-rmse:2.29324
[156]	validation_0-rmse:2.29159	validation_1-rmse:2.29159
[157]	validation_0-rmse:2.28842	validation_1-rmse:2.28842
[158]	validation_0-rmse:2.28501	validation_1-rmse:2.28501
[159]	validation_0-rmse:2.28179	validation_1-rmse:2.28179
[160]	validation_0-rmse:2.27894	validation_1-rmse:2.27894
[161]	validation_0-rmse:2.27824	validation_1-rmse:2.27824
[162]	validation_0-rmse:2.27569	validation_1-rmse:2.27569
[163]	validation_0-rmse:2.27350	validation_1-rmse:2.27350
[164]	validation_0-rmse:2.26909	validation_1-rmse:2.26909
[165]	validation_0-rmse:2.26572	validation_1-rmse:2.26572
[166]	validation_0-rmse:2.26065	validation_1-rmse:2.26065
[167]	validation_0-rmse:2.25677	validation_1-rmse:2.25677
[168]	validation_0-rmse:2.25600	validation_1-rmse:2.25600
[169]	validation_0-rmse:2.25227	validation_1-rmse:2.25227
[170]	validation_0-rmse:2.24946	validation_1-rmse:2.24946
[171]	validation_0-rmse:2.24478	validation_1-rmse:2.24478
[172]	validation_0-rmse:2.23986	validation_1-rmse:2.23986
[173]	validation_0-rmse:2.23887	validation_1-rmse:2.23887
[174]	validation_0-rmse:2.23658	validation_1-rmse:2.23658
[175]	validation_0-rmse:2.23082	validation_1-rmse:2.23082
[176]	validation_0-rmse:2.22724	validation_1-rmse:2.22724
[177]	validation_0-rmse:2.22379	validation_1-rmse:2.22379
[178]	validation_0-rmse:2.21965	validation_1-rmse:2.21965
[179]	validation_0-rmse:2.21742	validation_1-rmse:2.21742
[180]	validation_0-rmse:2.21498	validation_1-rmse:2.21498
[181]	validation_0-rmse:2.21413	validation_1-rmse:2.21413
[182]	validation_0-rmse:2.21267	validation_1-rmse:2.21267
[183]	validation_0-rmse:2.21151	validation_1-rmse:2.21151
[184]	validation_0-rmse:2.20890	validation_1-rmse:2.20890
[185]	validation_0-rmse:2.20786	validation_1-rmse:2.20786
[186]	validation_0-rmse:2.20496	validation_1-rmse:2.20496
[187]	validation_0-rmse:2.20328	validation_1-rmse:2.20328
[188]	validation_0-rmse:2.20114	validation_1-rmse:2.20114
[189]	validation_0-rmse:2.19920	validation_1-rmse:2.19920
[190]	validation_0-rmse:2.19542	validation_1-rmse:2.19542
[191]	validation_0-rmse:2.19260	validation_1-rmse:2.19260
[192]	validation_0-rmse:2.18943	validation_1-rmse:2.18943
[193]	validation_0-rmse:2.18598	validation_1-rmse:2.18598
[194]	validation_0-rmse:2.18071	validation_1-rmse:2.18071
[195]	validation_0-rmse:2.17896	validation_1-rmse:2.17896
[196]	validation_0-rmse:2.17744	validation_1-rmse:2.17744
[197]	validation_0-rmse:2.17476	validation_1-rmse:2.17476
[198]	validation_0-rmse:2.17334	validation_1-rmse:2.17334
[199]	validation_0-rmse:2.17102	validation_1-rmse:2.17102
[200]	validation_0-rmse:2.16802	validation_1-rmse:2.16802
[201]	validation_0-rmse:2.16699	validation_1-rmse:2.16699
[202]	validation_0-rmse:2.16452	validation_1-rmse:2.16452
[203]	validation_0-rmse:2.16243	validation_1-rmse:2.16243
[204]	validation_0-rmse:2.16121	validation_1-rmse:2.16121
[205]	validation_0-rmse:2.16007	validation_1-rmse:2.16007
[206]	validation_0-rmse:2.15823	validation_1-rmse:2.15823
[207]	validation_0-rmse:2.15780	validation_1-rmse:2.15780
[208]	validation_0-rmse:2.15479	validation_1-rmse:2.15479
[209]	validation_0-rmse:2.15174	validation_1-rmse:2.15174
[210]	validation_0-rmse:2.15006	validation_1-rmse:2.15006
[211]	validation_0-rmse:2.14852	validation_1-rmse:2.14852
[212]	validation_0-rmse:2.14759	validation_1-rmse:2.14759
[213]	validation_0-rmse:2.14646	validation_1-rmse:2.14646
[214]	validation_0-rmse:2.14337	validation_1-rmse:2.14337
[215]	validation_0-rmse:2.14191	validation_1-rmse:2.14191
[216]	validation_0-rmse:2.14055	validation_1-rmse:2.14055
[217]	validation_0-rmse:2.13974	validation_1-rmse:2.13974
[218]	validation_0-rmse:2.13867	validation_1-rmse:2.13867
[219]	validation_0-rmse:2.13794	validation_1-rmse:2.13794
[220]	validation_0-rmse:2.13576	validation_1-rmse:2.13576
[221]	validation_0-rmse:2.13416	validation_1-rmse:2.13416
[222]	validation_0-rmse:2.13154	validation_1-rmse:2.13154
[223]	validation_0-rmse:2.12848	validation_1-rmse:2.12848
[224]	validation_0-rmse:2.12667	validation_1-rmse:2.12667
[225]	validation_0-rmse:2.12332	validation_1-rmse:2.12332
[226]	validation_0-rmse:2.12139	validation_1-rmse:2.12139
[227]	validation_0-rmse:2.12012	validation_1-rmse:2.12012
[228]	validation_0-rmse:2.11726	validation_1-rmse:2.11726
[229]	validation_0-rmse:2.11581	validation_1-rmse:2.11581
