
Feature reduction based on permutation importance ...
[99]	validation_0-rmse:19.39489	validation_1-rmse:19.39489
[100]	validation_0-rmse:19.33497	validation_1-rmse:19.33497
[101]	validation_0-rmse:19.31238	validation_1-rmse:19.31238
[102]	validation_0-rmse:19.23653	validation_1-rmse:19.23653
[103]	validation_0-rmse:19.22474	validation_1-rmse:19.22474
[104]	validation_0-rmse:19.19147	validation_1-rmse:19.19147
[105]	validation_0-rmse:19.04643	validation_1-rmse:19.04643
[106]	validation_0-rmse:19.01838	validation_1-rmse:19.01838
[107]	validation_0-rmse:18.98251	validation_1-rmse:18.98251
[108]	validation_0-rmse:18.93977	validation_1-rmse:18.93977
[109]	validation_0-rmse:18.91998	validation_1-rmse:18.91998
[110]	validation_0-rmse:18.88299	validation_1-rmse:18.88299
[111]	validation_0-rmse:18.84274	validation_1-rmse:18.84274
[112]	validation_0-rmse:18.71749	validation_1-rmse:18.71749
[113]	validation_0-rmse:18.66832	validation_1-rmse:18.66832
[114]	validation_0-rmse:18.65477	validation_1-rmse:18.65477
[115]	validation_0-rmse:18.62735	validation_1-rmse:18.62735
[116]	validation_0-rmse:18.62037	validation_1-rmse:18.62037
[117]	validation_0-rmse:18.51517	validation_1-rmse:18.51517
[118]	validation_0-rmse:18.49771	validation_1-rmse:18.49771
[119]	validation_0-rmse:18.47728	validation_1-rmse:18.47728
[120]	validation_0-rmse:18.46705	validation_1-rmse:18.46705
[121]	validation_0-rmse:18.46114	validation_1-rmse:18.46114
[122]	validation_0-rmse:18.42949	validation_1-rmse:18.42949
[123]	validation_0-rmse:18.40906	validation_1-rmse:18.40906
[124]	validation_0-rmse:18.36940	validation_1-rmse:18.36940
[125]	validation_0-rmse:18.34741	validation_1-rmse:18.34741
[126]	validation_0-rmse:18.32024	validation_1-rmse:18.32024
[127]	validation_0-rmse:18.30009	validation_1-rmse:18.30009
[128]	validation_0-rmse:18.21767	validation_1-rmse:18.21767
[129]	validation_0-rmse:18.19902	validation_1-rmse:18.19902
[130]	validation_0-rmse:18.13430	validation_1-rmse:18.13430
[131]	validation_0-rmse:18.12550	validation_1-rmse:18.12550
[132]	validation_0-rmse:18.11015	validation_1-rmse:18.11015
[133]	validation_0-rmse:18.08187	validation_1-rmse:18.08187
[134]	validation_0-rmse:18.04328	validation_1-rmse:18.04328
[135]	validation_0-rmse:18.02783	validation_1-rmse:18.02783
[136]	validation_0-rmse:17.99411	validation_1-rmse:17.99411
[137]	validation_0-rmse:17.98145	validation_1-rmse:17.98145
[138]	validation_0-rmse:17.96693	validation_1-rmse:17.96693
[139]	validation_0-rmse:17.95180	validation_1-rmse:17.95180
[140]	validation_0-rmse:17.93327	validation_1-rmse:17.93327
[141]	validation_0-rmse:17.92089	validation_1-rmse:17.92089
[142]	validation_0-rmse:17.85956	validation_1-rmse:17.85956
[143]	validation_0-rmse:17.85223	validation_1-rmse:17.85223
[144]	validation_0-rmse:17.77038	validation_1-rmse:17.77038
[145]	validation_0-rmse:17.72640	validation_1-rmse:17.72640
[146]	validation_0-rmse:17.63253	validation_1-rmse:17.63253
[147]	validation_0-rmse:17.61314	validation_1-rmse:17.61314
[148]	validation_0-rmse:17.59229	validation_1-rmse:17.59229
[149]	validation_0-rmse:17.57835	validation_1-rmse:17.57835
[150]	validation_0-rmse:17.56318	validation_1-rmse:17.56318
[151]	validation_0-rmse:17.52169	validation_1-rmse:17.52169
[152]	validation_0-rmse:17.51491	validation_1-rmse:17.51491
[153]	validation_0-rmse:17.50174	validation_1-rmse:17.50174
[154]	validation_0-rmse:17.48610	validation_1-rmse:17.48610
[155]	validation_0-rmse:17.48100	validation_1-rmse:17.48100
[156]	validation_0-rmse:17.46549	validation_1-rmse:17.46549
[157]	validation_0-rmse:17.42663	validation_1-rmse:17.42663
[158]	validation_0-rmse:17.40137	validation_1-rmse:17.40137
[159]	validation_0-rmse:17.39235	validation_1-rmse:17.39235
[160]	validation_0-rmse:17.38107	validation_1-rmse:17.38107
[161]	validation_0-rmse:17.37711	validation_1-rmse:17.37711
[162]	validation_0-rmse:17.35678	validation_1-rmse:17.35678
[163]	validation_0-rmse:17.33097	validation_1-rmse:17.33097
[164]	validation_0-rmse:17.31296	validation_1-rmse:17.31296
[165]	validation_0-rmse:17.28154	validation_1-rmse:17.28154
[166]	validation_0-rmse:17.23627	validation_1-rmse:17.23627
[167]	validation_0-rmse:17.18413	validation_1-rmse:17.18413
[168]	validation_0-rmse:17.11274	validation_1-rmse:17.11274
[169]	validation_0-rmse:17.10047	validation_1-rmse:17.10047
[170]	validation_0-rmse:17.08703	validation_1-rmse:17.08703
[171]	validation_0-rmse:17.03920	validation_1-rmse:17.03920
[172]	validation_0-rmse:17.02573	validation_1-rmse:17.02573
[173]	validation_0-rmse:16.99503	validation_1-rmse:16.99503
[174]	validation_0-rmse:16.97932	validation_1-rmse:16.97932
[175]	validation_0-rmse:16.96080	validation_1-rmse:16.96080
[176]	validation_0-rmse:16.93767	validation_1-rmse:16.93767
[177]	validation_0-rmse:16.91120	validation_1-rmse:16.91120
[178]	validation_0-rmse:16.89281	validation_1-rmse:16.89281
[179]	validation_0-rmse:16.85882	validation_1-rmse:16.85882
[180]	validation_0-rmse:16.84819	validation_1-rmse:16.84819
[181]	validation_0-rmse:16.83773	validation_1-rmse:16.83773
[182]	validation_0-rmse:16.82801	validation_1-rmse:16.82801
[183]	validation_0-rmse:16.80383	validation_1-rmse:16.80383
[184]	validation_0-rmse:16.77088	validation_1-rmse:16.77088
[185]	validation_0-rmse:16.76141	validation_1-rmse:16.76141
